filename,file_path,bytes_size,resolution,aspect_ratio,type,label
pixabay_cat_000455.jpg,../animals_data/train/cat/pixabay_cat_000455.jpg,51139,512x512,1.0,train,cat
pixabay_cat_001993.jpg,../animals_data/train/cat/pixabay_cat_001993.jpg,55929,512x512,1.0,train,cat
pixabay_cat_004633.jpg,../animals_data/train/cat/pixabay_cat_004633.jpg,52371,512x512,1.0,train,cat
pixabay_cat_002242.jpg,../animals_data/train/cat/pixabay_cat_002242.jpg,51073,512x512,1.0,train,cat
pixabay_cat_002524.jpg,../animals_data/train/cat/pixabay_cat_002524.jpg,42120,512x512,1.0,train,cat
pixabay_cat_004155.jpg,../animals_data/train/cat/pixabay_cat_004155.jpg,37632,512x512,1.0,train,cat
flickr_cat_000619.jpg,../animals_data/train/cat/flickr_cat_000619.jpg,24033,512x512,1.0,train,cat
pixabay_cat_000333.jpg,../animals_data/train/cat/pixabay_cat_000333.jpg,57810,512x512,1.0,train,cat
pixabay_cat_000327.jpg,../animals_data/train/cat/pixabay_cat_000327.jpg,51304,512x512,1.0,train,cat
pixabay_cat_001039.jpg,../animals_data/train/cat/pixabay_cat_001039.jpg,57345,512x512,1.0,train,cat
pixabay_cat_002530.jpg,../animals_data/train/cat/pixabay_cat_002530.jpg,41572,512x512,1.0,train,cat
pixabay_cat_004141.jpg,../animals_data/train/cat/pixabay_cat_004141.jpg,38930,512x512,1.0,train,cat
pixabay_cat_004627.jpg,../animals_data/train/cat/pixabay_cat_004627.jpg,30978,512x512,1.0,train,cat
pixabay_cat_003148.jpg,../animals_data/train/cat/pixabay_cat_003148.jpg,45449,512x512,1.0,train,cat
pixabay_cat_001987.jpg,../animals_data/train/cat/pixabay_cat_001987.jpg,32984,512x512,1.0,train,cat
pixabay_cat_003160.jpg,../animals_data/train/cat/pixabay_cat_003160.jpg,27219,512x512,1.0,train,cat
pixabay_cat_001777.jpg,../animals_data/train/cat/pixabay_cat_001777.jpg,36290,512x512,1.0,train,cat
pixabay_cat_000469.jpg,../animals_data/train/cat/pixabay_cat_000469.jpg,37780,512x512,1.0,train,cat
flickr_cat_000143.jpg,../animals_data/train/cat/flickr_cat_000143.jpg,42594,512x512,1.0,train,cat
flickr_cat_000625.jpg,../animals_data/train/cat/flickr_cat_000625.jpg,56617,512x512,1.0,train,cat
pixabay_cat_001011.jpg,../animals_data/train/cat/pixabay_cat_001011.jpg,58460,512x512,1.0,train,cat
pixabay_cat_002518.jpg,../animals_data/train/cat/pixabay_cat_002518.jpg,37620,512x512,1.0,train,cat
pixabay_cat_003606.jpg,../animals_data/train/cat/pixabay_cat_003606.jpg,48444,512x512,1.0,train,cat
pixabay_cat_004169.jpg,../animals_data/train/cat/pixabay_cat_004169.jpg,38460,512x512,1.0,train,cat
pixabay_cat_003612.jpg,../animals_data/train/cat/pixabay_cat_003612.jpg,38893,512x512,1.0,train,cat
flickr_cat_000631.jpg,../animals_data/train/cat/flickr_cat_000631.jpg,56897,512x512,1.0,train,cat
pixabay_cat_001005.jpg,../animals_data/train/cat/pixabay_cat_001005.jpg,42010,512x512,1.0,train,cat
pixabay_cat_001763.jpg,../animals_data/train/cat/pixabay_cat_001763.jpg,55559,512x512,1.0,train,cat
flickr_cat_000157.jpg,../animals_data/train/cat/flickr_cat_000157.jpg,29612,512x512,1.0,train,cat
pixabay_cat_003174.jpg,../animals_data/train/cat/pixabay_cat_003174.jpg,34247,512x512,1.0,train,cat
pixabay_cat_004828.jpg,../animals_data/train/cat/pixabay_cat_004828.jpg,50453,512x512,1.0,train,cat
pixabay_cat_002281.jpg,../animals_data/train/cat/pixabay_cat_002281.jpg,74715,512x512,1.0,train,cat
pixabay_cat_000496.jpg,../animals_data/train/cat/pixabay_cat_000496.jpg,42278,512x512,1.0,train,cat
pixabay_cat_001950.jpg,../animals_data/train/cat/pixabay_cat_001950.jpg,66299,512x512,1.0,train,cat
pixabay_cat_001788.jpg,../animals_data/train/cat/pixabay_cat_001788.jpg,27304,512x512,1.0,train,cat
pixabay_cat_004196.jpg,../animals_data/train/cat/pixabay_cat_004196.jpg,46499,512x512,1.0,train,cat
pixabay_cat_003821.jpg,../animals_data/train/cat/pixabay_cat_003821.jpg,57369,512x512,1.0,train,cat
pixabay_cat_004182.jpg,../animals_data/train/cat/pixabay_cat_004182.jpg,29124,512x512,1.0,train,cat
pixabay_cat_003835.jpg,../animals_data/train/cat/pixabay_cat_003835.jpg,48228,512x512,1.0,train,cat
pixabay_cat_000482.jpg,../animals_data/train/cat/pixabay_cat_000482.jpg,36642,512x512,1.0,train,cat
pixabay_cat_001944.jpg,../animals_data/train/cat/pixabay_cat_001944.jpg,65617,512x512,1.0,train,cat
pixabay_cat_002295.jpg,../animals_data/train/cat/pixabay_cat_002295.jpg,45249,512x512,1.0,train,cat
pixabay_cat_004814.jpg,../animals_data/train/cat/pixabay_cat_004814.jpg,47913,512x512,1.0,train,cat
pixabay_cat_003809.jpg,../animals_data/train/cat/pixabay_cat_003809.jpg,31917,512x512,1.0,train,cat
pixabay_cat_004800.jpg,../animals_data/train/cat/pixabay_cat_004800.jpg,86636,512x512,1.0,train,cat
flickr_cat_000194.jpg,../animals_data/train/cat/flickr_cat_000194.jpg,63961,512x512,1.0,train,cat
pixabay_cat_001978.jpg,../animals_data/train/cat/pixabay_cat_001978.jpg,49173,512x512,1.0,train,cat
pixabay_cat_000131.jpg,../animals_data/train/cat/pixabay_cat_000131.jpg,41500,512x512,1.0,train,cat
pixabay_cat_004357.jpg,../animals_data/train/cat/pixabay_cat_004357.jpg,46293,512x512,1.0,train,cat
pixabay_cat_003438.jpg,../animals_data/train/cat/pixabay_cat_003438.jpg,43593,512x512,1.0,train,cat
pixabay_cat_002726.jpg,../animals_data/train/cat/pixabay_cat_002726.jpg,44092,512x512,1.0,train,cat
pixabay_cat_002040.jpg,../animals_data/train/cat/pixabay_cat_002040.jpg,62974,512x512,1.0,train,cat
pixabay_cat_004431.jpg,../animals_data/train/cat/pixabay_cat_004431.jpg,44606,512x512,1.0,train,cat
pixabay_cat_000657.jpg,../animals_data/train/cat/pixabay_cat_000657.jpg,40935,512x512,1.0,train,cat
pixabay_cat_001549.jpg,../animals_data/train/cat/pixabay_cat_001549.jpg,49977,512x512,1.0,train,cat
flickr_cat_000369.jpg,../animals_data/train/cat/flickr_cat_000369.jpg,108189,512x512,1.0,train,cat
pixabay_cat_000643.jpg,../animals_data/train/cat/pixabay_cat_000643.jpg,47334,512x512,1.0,train,cat
pixabay_cat_002054.jpg,../animals_data/train/cat/pixabay_cat_002054.jpg,44619,512x512,1.0,train,cat
pixabay_cat_004425.jpg,../animals_data/train/cat/pixabay_cat_004425.jpg,58672,512x512,1.0,train,cat
pixabay_cat_002732.jpg,../animals_data/train/cat/pixabay_cat_002732.jpg,50423,512x512,1.0,train,cat
pixabay_cat_000125.jpg,../animals_data/train/cat/pixabay_cat_000125.jpg,47433,512x512,1.0,train,cat
pixabay_cat_003404.jpg,../animals_data/train/cat/pixabay_cat_003404.jpg,38762,512x512,1.0,train,cat
